book_id,title,author,price,stock_quantity,category_id,description,publisher,publication_year
1,The Catcher in the Rye,J.D. Salinger,23.28,34,2,A great book about life and adventure.,Giles Ltd,1989
2,The Hobbit,Ray Bradbury,48.02,18,5,A great book about life and adventure.,Dennis-Bell,1982
3,Fahrenheit 451,F. Scott Fitzgerald,9.06,16,3,A great book about life and adventure.,Simpson-Clark,1992
4,Moby-Dick,Harper Lee,5.44,43,2,A great book about life and adventure.,"Smith, Holland and Wilson",1999
5,The Great Gatsby,F. Scott Fitzgerald,41.32,56,5,A great book about life and adventure.,Hicks Group,2004
6,The Catcher in the Rye,George Orwell,25.55,1,5,A great book about life and adventure.,Castro-Zimmerman,2010
7,Pride and Prejudice,Ray Bradbury,26.16,98,1,A great book about life and adventure.,Webster-Adams,1998
8,The Great Gatsby,J.R.R. Tolkien,18.86,74,2,A great book about life and adventure.,"Kirk, Lynch and Walsh",1999
9,1984,Harper Lee,17.11,84,2,A great book about life and adventure.,Baker-Boyd,1997
10,Pride and Prejudice,J.R.R. Tolkien,17.68,6,5,A great book about life and adventure.,Houston Ltd,1994
11,The Great Gatsby,J.R.R. Tolkien,25.88,88,3,A great book about life and adventure.,"Silva, Christensen and Shaw",1992
12,The Lord of the Rings,J.R.R. Tolkien,24.71,10,3,A great book about life and adventure.,Hardin PLC,2000
13,Pride and Prejudice,Harper Lee,34.04,84,5,A great book about life and adventure.,Long and Sons,2003
14,The Great Gatsby,Ray Bradbury,45.42,27,2,A great book about life and adventure.,Ramirez-Howell,2015
15,1984,J.R.R. Tolkien,28.43,62,4,A great book about life and adventure.,Miller-Lucas,2023
16,The Hobbit,Jane Austen,45.16,11,4,A great book about life and adventure.,Jones-Graham,2006
17,Pride and Prejudice,F. Scott Fitzgerald,12.57,56,5,A great book about life and adventure.,Cox-Hopkins,2022
18,Harry Potter and the Sorcerer's Stone,Jane Austen,32.72,65,5,A great book about life and adventure.,"Keller, Smith and Evans",1990
19,To Kill a Mockingbird,Herman Melville,9.38,14,5,A great book about life and adventure.,Reed Group,1999
20,Pride and Prejudice,J.R.R. Tolkien,17.03,35,4,A great book about life and adventure.,"Quinn, Hebert and Martin",2014
21,1984,F. Scott Fitzgerald,38.37,80,4,A great book about life and adventure.,Briggs Group,1986
22,Moby-Dick,Jane Austen,49.26,36,3,A great book about life and adventure.,"Patel, Young and Rios",2016
23,Moby-Dick,Harper Lee,36.93,39,2,A great book about life and adventure.,Garcia Inc,2021
24,The Great Gatsby,Herman Melville,44.48,15,4,A great book about life and adventure.,"Mora, Nguyen and Henry",2020
25,Pride and Prejudice,F. Scott Fitzgerald,19.86,15,5,A great book about life and adventure.,Jones Inc,2010
26,Harry Potter and the Sorcerer's Stone,J.R.R. Tolkien,13.72,81,2,A great book about life and adventure.,"Murphy, Townsend and Brown",1982
27,To Kill a Mockingbird,Herman Melville,17.93,12,2,A great book about life and adventure.,Bishop and Sons,1982
28,The Lord of the Rings,Herman Melville,7.81,89,1,A great book about life and adventure.,Cunningham-Elliott,1991
29,Pride and Prejudice,J.R.R. Tolkien,41.67,31,1,A great book about life and adventure.,"Rodriguez, Blake and Webster",1984
30,1984,Ray Bradbury,31.23,8,3,A great book about life and adventure.,Buckley-Mcknight,2020
31,The Hobbit,Herman Melville,9.78,12,4,A great book about life and adventure.,Smith-Ellis,1992
32,To Kill a Mockingbird,Ray Bradbury,39.18,11,2,A great book about life and adventure.,Rodriguez-Smith,2017
33,1984,J.R.R. Tolkien,44.32,75,5,A great book about life and adventure.,Thomas LLC,2021
34,Harry Potter and the Sorcerer's Stone,Harper Lee,16.45,29,1,A great book about life and adventure.,Munoz-Higgins,2004
