order_item_id,order_id,book_id,quantity,subtotal
1,5655,682,3,147.13
2,1256,703,4,114.89
3,3353,803,2,25.06
4,848,67,1,7.27
5,1820,988,1,17.03
6,1884,486,4,111.0
7,129,305,1,38.88
8,8707,251,4,25.48
9,319,464,3,110.56
10,3620,844,2,70.79
11,7457,286,5,49.92
12,233,916,2,99.65
13,6075,922,1,137.09
14,7934,503,3,138.12
15,1866,338,1,149.82
16,5135,905,2,46.89
17,1475,339,5,22.7
18,7922,261,1,14.31
19,4980,737,4,39.44
20,7635,865,5,121.17
21,3740,235,1,139.14
22,2922,488,2,86.0
23,7874,324,4,115.77
24,1818,535,3,136.11
25,5872,418,1,77.38
26,717,426,2,109.62
27,7273,901,2,136.72
28,3755,562,5,99.98
29,8772,349,2,36.37
30,2020,235,4,77.77
31,1329,658,3,77.68
32,8554,965,2,89.69
33,5141,650,5,23.57
34,8293,46,3,14.57
35,1634,799,1,130.34
36,6007,45,1,145.73
37,5960,221,3,62.26
38,8168,50,1,114.77
39,7062,196,1,26.82
40,2776,761,2,99.38
41,4269,331,2,59.07
42,4567,709,1,120.29
43,2428,822,5,87.87
44,5333,46,1,76.08
45,8161,703,3,23.42
46,4486,733,5,53.7
47,5164,379,5,131.03
48,648,911,3,97.33
49,6713,452,3,43.07
50,3288,394,4,145.07
51,5064,418,4,74.42
52,9307,407,1,127.63
53,9998,741,1,35.39
54,3189,910,1,5.15
55,882,766,5,17.79
56,9312,1000,3,109.71
57,3496,299,1,101.2
58,4582,420,4,42.09
59,9311,272,1,52.75
60,4452,925,2,33.25
61,3865,489,3,87.24
62,4296,74,4,136.98
63,8379,575,5,101.97
64,8609,734,3,122.42
65,5088,960,2,122.66
66,9538,763,3,149.23
67,2528,338,1,26.56
68,1555,787,1,140.6
69,4240,977,1,96.47
70,5859,625,2,132.85
71,950,679,1,23.09
72,6964,102,3,38.45
73,9164,514,1,100.24
74,6073,694,4,122.76
75,5166,756,5,33.98
76,1143,836,5,97.53
77,7837,722,4,23.2
78,3275,735,3,130.33
79,8983,788,3,141.18
80,4682,668,5,33.21
81,1776,587,2,85.54
82,4160,826,2,35.02
83,2344,459,5,29.21
84,6286,913,2,22.17
85,2819,752,1,58.97
86,7150,827,1,90.0
87,1064,129,5,29.17
88,5600,15,4,100.11
89,4451,161,5,77.63
90,4585,387,3,23.29
91,982,573,5,139.28
92,8087,767,3,98.74
93,2930,505,2,37.44
94,7063,805,5,134.3
95,2192,813,2,39.35
96,908,401,4,101.53
97,3357,220,4,8.54
98,7526,329,2,25.05
99,5715,144,2,68.56
100,1422,840,1,127.56
101,6996,94,1,5.68
102,9740,531,1,88.4
103,6582,920,5,35.84
104,5537,223,2,124.47
105,4089,873,5,17.69
106,5007,537,3,118.29
107,5834,793,1,85.11
108,8037,148,4,37.15
109,7490,986,3,101.17
110,9664,233,5,52.12
111,1300,431,3,69.46
112,5740,991,3,109.63
113,7926,736,2,61.28
114,7772,440,5,119.3
115,2317,7,2,135.75
116,6926,311,1,26.33
117,8424,557,2,117.0
118,2186,999,5,109.78
119,8851,702,3,54.49
120,3099,72,4,81.59
121,4595,719,2,36.74
122,1074,93,5,100.5
123,8501,534,2,39.59
124,5214,243,4,51.38
125,1476,236,3,97.55
126,6871,180,5,44.88
127,4525,37,3,33.42
128,1831,195,3,19.97
129,7330,737,3,59.63
130,1641,912,5,75.5
131,356,113,2,126.87
132,6799,89,3,149.07
133,8512,331,2,143.31
134,5830,175,2,40.75
135,3809,114,4,6.86
136,7212,574,1,101.88
137,2227,122,1,108.23
138,5768,871,3,49.59
139,1482,689,4,97.23
140,5493,383,2,17.76
141,8660,626,3,101.85
142,1863,782,4,135.51
143,6893,630,1,27.93
144,4176,720,2,141.02
145,2803,9,2,15.54
146,3115,904,2,147.7
147,9379,203,3,74.0
148,2798,129,5,120.59
149,2483,671,4,101.01
150,8476,5,4,116.78
151,304,317,3,145.51
152,1467,909,4,50.06
153,2521,324,3,100.15
154,9596,13,1,139.76
155,1166,296,3,74.63
156,452,371,2,132.29
157,5863,929,3,148.44
158,5040,49,3,142.25
159,9088,389,2,118.48
160,8841,499,4,143.6
161,4973,867,2,80.7
162,4056,23,3,96.42
163,7873,417,4,80.17
164,9634,915,5,129.99
165,2134,880,5,116.97
166,438,148,4,57.38
167,1489,808,4,76.31
168,7993,61,1,49.83
169,4274,809,3,31.25
170,9672,953,3,60.25
171,976,382,5,85.92
172,247,261,5,124.65
173,7169,464,1,68.28
