order_id,user_id,order_date,total_amount,status
1,3167,2024-09-26,205.73,Cancelled
2,3530,2024-04-03,151.4,Pending
3,4292,2024-09-06,180.95,Shipped
4,3729,2025-01-29,497.62,Delivered
5,3452,2024-06-10,425.86,Shipped
6,3534,2024-09-12,489.29,Cancelled
7,3555,2024-07-09,273.4,Delivered
8,2775,2024-12-21,35.76,Cancelled
9,4350,2024-09-08,168.96,Shipped
10,3194,2025-01-16,312.08,Cancelled
11,4915,2024-12-17,487.69,Delivered
12,2185,2024-03-25,201.8,Cancelled
13,4550,2024-11-12,243.89,Pending
14,1136,2024-09-18,43.83,Delivered
15,4778,2025-01-31,13.16,Pending
16,2384,2024-05-31,446.96,Cancelled
17,4802,2024-07-08,312.58,Cancelled
18,1575,2024-06-08,243.59,Cancelled
19,3423,2024-04-28,60.27,Pending
20,4395,2024-10-30,296.11,Delivered
21,4992,2024-10-03,107.45,Cancelled
22,826,2024-03-06,294.36,Cancelled
23,572,2024-08-08,50.85,Shipped
24,1334,2024-12-30,213.61,Cancelled
25,4719,2024-11-17,44.17,Cancelled
26,2687,2025-01-22,81.8,Pending
27,2372,2024-08-09,122.71,Pending
28,1841,2024-09-04,347.04,Shipped
29,3601,2024-09-08,171.18,Cancelled
30,87,2024-09-03,240.69,Delivered
31,4907,2024-08-31,207.53,Pending
32,1877,2024-05-17,314.53,Pending
33,1900,2024-10-18,139.2,Cancelled
34,165,2024-03-18,362.31,Delivered
35,3988,2024-10-07,247.98,Cancelled
36,714,2024-10-31,102.09,Cancelled
37,3224,2024-05-15,338.6,Shipped
38,1379,2024-08-23,178.4,Shipped
39,830,2024-05-25,157.95,Cancelled
40,4151,2025-01-21,197.54,Shipped
41,3528,2025-01-23,459.55,Pending
42,2361,2024-08-01,41.63,Pending
43,932,2024-03-07,399.04,Pending
44,2754,2024-12-21,370.93,Cancelled
45,120,2024-02-28,179.46,Shipped
46,497,2024-09-17,304.47,Delivered
47,3036,2024-12-09,372.5,Delivered
48,1503,2024-12-25,478.17,Delivered
49,362,2024-04-30,323.71,Shipped
50,2543,2024-11-07,423.21,Pending
51,961,2024-05-21,496.55,Cancelled
52,3893,2024-05-26,218.83,Cancelled
53,2377,2024-11-22,241.62,Shipped
54,634,2024-12-26,299.65,Delivered
55,4675,2024-07-19,109.57,Cancelled
56,994,2024-11-22,41.4,Cancelled
57,3117,2024-07-31,460.21,Shipped
58,4256,2024-02-16,127.13,Pending
59,3470,2024-06-25,398.76,Cancelled
60,1897,2024-05-06,284.82,Pending
61,754,2024-07-05,363.98,Cancelled
62,3078,2024-05-28,307.63,Shipped
63,2181,2024-07-22,415.51,Shipped
64,858,2024-10-10,375.46,Shipped
65,2857,2024-03-24,292.47,Shipped
66,3419,2024-08-03,92.8,Shipped
67,4519,2024-09-13,198.06,Cancelled
68,3499,2025-01-08,49.98,Shipped
69,2635,2024-08-25,79.57,Pending
70,4936,2024-05-17,303.63,Pending
71,1433,2024-08-19,396.6,Cancelled
72,4482,2024-11-28,489.18,Delivered
73,1984,2024-05-01,123.28,Cancelled
74,2487,2024-11-22,120.31,Pending
75,2679,2024-11-23,478.52,Cancelled
76,1620,2025-02-01,234.5,Shipped
77,3956,2025-01-23,108.63,Cancelled
78,3833,2024-08-31,336.58,Shipped
79,136,2024-12-27,175.91,Shipped
80,4439,2024-08-19,139.92,Cancelled
81,360,2024-09-28,329.24,Pending
82,4547,2024-12-01,421.66,Shipped
83,4472,2024-04-17,268.14,Cancelled
84,3785,2024-02-25,222.48,Delivered
85,3763,2025-01-23,437.76,Delivered
86,4421,2024-09-04,278.49,Delivered
87,4541,2024-04-20,381.75,Shipped
88,1775,2024-10-21,104.4,Cancelled
89,4916,2024-05-22,144.09,Cancelled
90,167,2024-10-07,72.31,Shipped
91,4866,2024-05-09,332.36,Shipped
92,2024,2024-12-22,405.19,Shipped
93,4904,2024-09-30,13.72,Pending
94,806,2024-11-18,386.92,Delivered
95,184,2024-04-08,19.44,Shipped
96,1069,2024-06-05,14.9,Shipped
97,907,2024-10-06,208.39,Cancelled
98,2304,2024-06-13,167.85,Shipped
99,401,2024-11-15,424.76,Delivered
100,3906,2024-11-03,43.54,Delivered
101,4527,2024-03-22,307.77,Shipped
102,970,2024-10-31,387.16,Delivered
103,2737,2024-07-15,233.39,Cancelled
104,1089,2024-04-03,132.49,Shipped
105,399,2024-05-27,27.85,Cancelled
106,4291,2024-12-25,155.16,Pending
107,4116,2024-07-16,382.33,Cancelled
108,4488,2024-07-08,130.52,Shipped
109,972,2024-05-10,162.8,Cancelled
110,3317,2025-01-14,290.94,Pending
111,2689,2024-06-15,320.16,Delivered
112,2167,2024-06-19,254.46,Cancelled
113,4711,2024-02-18,131.17,Delivered
114,4696,2025-02-05,291.96,Cancelled
115,2636,2025-01-03,341.27,Delivered
116,1692,2024-08-30,464.1,Cancelled
117,1442,2024-06-20,463.79,Pending
118,1925,2024-10-24,198.08,Cancelled
119,2003,2024-09-19,261.16,Delivered
120,4590,2024-12-29,208.44,Pending
121,3788,2024-12-26,155.88,Shipped
122,533,2024-10-08,266.94,Delivered
123,1090,2024-08-18,486.21,Cancelled
124,1507,2024-11-29,79.56,Pending
125,726,2024-07-17,413.69,Delivered
126,397,2024-12-09,79.1,Shipped
127,4865,2024-11-07,261.09,Shipped
128,2523,2024-06-10,291.32,Delivered
129,2175,2024-08-07,308.39,Pending
130,2972,2024-10-16,361.16,Cancelled
131,3899,2024-06-23,175.08,Cancelled
132,3556,2024-04-11,131.81,Pending
133,1790,2024-12-30,374.07,Shipped
134,4538,2024-04-05,337.03,Cancelled
135,4916,2024-09-07,448.93,Cancelled
136,1168,2024-10-14,49.79,Pending
137,769,2025-01-31,378.6,Shipped
138,1082,2024-06-10,350.8,Pending
139,1339,2024-04-06,380.07,Pending
140,1968,2024-08-24,312.93,Delivered
141,747,2025-02-01,309.18,Pending
142,255,2024-10-02,317.97,Delivered
143,4931,2024-08-02,359.16,Pending
144,3338,2024-03-01,64.3,Shipped
145,4109,2024-09-13,261.76,Cancelled
146,3887,2024-07-15,311.27,Shipped
147,4678,2024-07-30,170.62,Pending
148,667,2024-06-23,289.23,Shipped
149,732,2024-06-29,371.99,Pending
150,1915,2024-08-03,411.23,Delivered
151,3749,2024-09-27,98.63,Delivered
152,3338,2024-12-27,185.29,Delivered
153,4175,2024-07-26,478.42,Cancelled
154,1398,2025-02-01,273.02,Delivered
155,4589,2024-07-20,375.69,Shipped
156,1265,2024-07-31,148.61,Shipped
157,1893,2024-07-03,234.57,Shipped
158,3038,2024-11-15,23.98,Pending
159,1229,2024-10-27,293.41,Shipped
160,3041,2024-06-16,324.47,Delivered
161,307,2024-05-22,323.53,Cancelled
162,1816,2024-04-06,242.6,Shipped
163,3061,2024-03-03,430.9,Delivered
164,3564,2024-12-25,115.78,Delivered
165,2151,2024-03-28,393.48,Cancelled
166,2516,2024-02-13,389.15,Pending
167,2843,2024-11-22,209.56,Cancelled
168,1821,2024-09-22,69.67,Pending
169,4355,2025-01-04,82.11,Shipped
170,2884,2024-09-26,51.71,Delivered
171,3208,2024-10-21,301.18,Shipped
172,2808,2024-08-21,76.27,Delivered
173,4826,2024-04-21,88.71,Delivered
174,4200,2024-05-03,487.04,Cancelled
175,4796,2024-08-02,432.66,Delivered
176,3971,2024-08-23,391.88,Shipped
177,1793,2024-03-08,269.75,Pending
178,2889,2024-10-18,397.82,Delivered
179,3795,2024-11-11,135.97,Delivered
180,4956,2024-09-15,114.97,Pending
181,2857,2024-06-19,259.77,Cancelled
182,234,2024-02-22,334.53,Pending
183,2003,2024-06-26,305.14,Delivered
184,1878,2024-05-18,371.52,Pending
185,3094,2025-01-05,281.47,Pending
186,2487,2025-01-21,253.18,Delivered
187,2664,2024-06-05,376.86,Cancelled
188,4694,2024-03-17,69.22,Delivered
189,1546,2025-01-10,416.05,Delivered
190,1564,2025-01-27,97.35,Delivered
191,4626,2024-09-08,63.25,Delivered
192,2291,2024-09-11,318.56,Delivered
193,3086,2024-02-18,327.09,Delivered
194,2040,2024-06-30,206.65,Cancelled
195,3188,2024-06-29,484.7,Shipped
196,3508,2024-09-18,58.0,Pending
197,2834,2024-08-19,380.17,Delivered
198,3546,2024-09-19,174.74,Pending
199,4190,2024-03-19,154.26,Cancelled
200,4465,2024-11-14,437.36,Shipped
201,4521,2024-10-06,498.22,Shipped
202,3848,2024-06-30,447.07,Pending
203,843,2024-02-22,478.84,Delivered
204,4798,2024-11-07,459.08,Cancelled
205,587,2025-01-02,430.71,Cancelled
206,3124,2024-07-12,105.19,Shipped
207,2347,2024-02-19,182.7,Cancelled
208,830,2024-11-08,116.34,Delivered
209,2843,2024-08-21,208.1,Cancelled
210,1219,2024-12-04,411.82,Delivered
211,3006,2024-05-28,313.26,Shipped
212,3691,2024-04-23,36.1,Delivered
213,2538,2024-07-12,264.48,Pending
214,3589,2024-07-16,96.93,Pending
215,1956,2025-02-05,28.06,Delivered
216,4163,2024-12-17,86.87,Delivered
217,467,2024-08-10,130.19,Delivered
218,2426,2024-10-22,83.86,Delivered
219,1022,2025-02-01,389.85,Pending
220,775,2024-07-31,329.21,Delivered
221,4342,2024-10-08,39.61,Delivered
222,9,2024-05-02,345.28,Shipped
223,1803,2024-04-15,409.55,Cancelled
224,3247,2024-05-05,447.5,Pending
225,2776,2024-07-08,288.11,Cancelled
226,4880,2024-07-11,361.22,Pending
227,1357,2024-02-25,42.64,Delivered
228,1264,2024-05-28,187.27,Delivered
229,2653,2024-02-25,330.58,Shipped
230,379,2025-01-13,306.34,Cancelled
231,518,2024-07-14,298.54,Cancelled
232,3999,2024-07-13,443.34,Delivered
233,3943,2024-09-18,499.22,Cancelled
234,2471,2024-06-23,78.39,Delivered
235,4198,2024-06-30,478.41,Shipped
236,2589,2024-03-01,473.69,Shipped
237,1176,2024-04-04,268.2,Shipped
238,3724,2024-10-04,365.18,Pending
239,3393,2024-04-14,402.71,Shipped
240,2224,2024-02-25,461.88,Shipped
241,865,2024-06-29,99.5,Shipped
242,2214,2024-03-03,428.77,Shipped
243,1116,2024-03-11,115.55,Shipped
244,1071,2024-08-20,134.11,Shipped
245,3137,2024-06-12,35.08,Pending
246,2076,2025-01-10,35.39,Delivered
247,565,2024-07-31,48.03,Shipped
248,1574,2024-06-05,241.22,Pending
249,3928,2025-01-10,332.1,Delivered
250,4796,2024-03-29,325.09,Shipped
251,502,2024-09-28,100.03,Cancelled
252,4172,2024-10-26,481.74,Shipped
253,910,2024-10-18,147.83,Delivered
254,1219,2024-06-11,439.69,Delivered
255,3731,2024-07-14,272.71,Delivered
256,1765,2024-09-17,469.08,Delivered
257,3092,2024-11-01,277.01,Shipped
258,2264,2024-07-14,259.06,Pending
259,3487,2024-12-23,237.19,Delivered
260,532,2024-04-24,254.87,Shipped
261,4692,2024-02-22,66.92,Delivered
262,4647,2025-01-24,293.31,Cancelled
263,750,2024-10-15,90.13,Pending
264,2300,2024-03-07,250.99,Shipped
265,50,2024-10-16,172.15,Cancelled
266,3221,2024-06-08,79.62,Cancelled
267,2060,2024-06-11,159.44,Cancelled
268,1094,2024-02-22,467.09,Pending
269,2407,2024-05-01,439.58,Cancelled
270,1165,2024-03-23,290.11,Cancelled
271,3498,2024-10-08,122.99,Delivered
272,387,2024-10-01,402.4,Delivered
273,2786,2024-10-27,303.9,Pending
274,1279,2024-03-15,80.32,Pending
275,3019,2024-06-27,251.27,Cancelled
276,2711,2024-11-07,314.67,Cancelled
277,3540,2024-05-08,11.97,Shipped
278,4245,2024-03-28,483.37,Cancelled
279,3904,2024-06-10,372.5,Delivered
280,3087,2024-07-13,64.48,Shipped
281,4586,2024-09-23,427.47,Cancelled
282,2139,2024-04-11,175.72,Delivered
283,4092,2024-08-23,42.07,Pending
284,2868,2024-05-09,185.35,Delivered
285,2767,2024-03-31,136.12,Shipped
286,3543,2024-08-25,437.88,Shipped
287,1352,2024-12-24,113.59,Shipped
288,1792,2025-01-27,129.08,Pending
289,1577,2024-12-22,465.31,Delivered
290,3177,2024-12-16,499.04,Shipped
291,3044,2024-08-09,306.95,Cancelled
292,2387,2024-02-29,422.07,Cancelled
293,746,2024-07-11,162.62,Delivered
294,3129,2024-12-28,482.98,Pending
295,2258,2024-10-03,286.66,Pending
296,3294,2024-11-23,439.92,Cancelled
297,1287,2024-06-24,152.47,Cancelled
298,3722,2024-02-12,24.96,Cancelled
299,2986,2024-11-29,414.61,Pending
300,2451,2024-08-20,405.96,Shipped
301,3492,2024-06-17,214.77,Shipped
302,3973,2024-09-10,117.27,Pending
303,2395,2024-08-05,50.1,Pending
304,1390,2024-06-22,447.97,Cancelled
305,1413,2024-11-15,151.14,Shipped
306,2027,2024-05-19,43.55,Delivered
307,4846,2024-04-18,328.68,Cancelled
308,1529,2024-07-04,298.75,Pending
309,1438,2024-02-23,446.7,Shipped
310,151,2024-11-12,244.49,Cancelled
311,684,2024-12-06,242.44,Pending
312,1588,2024-09-30,89.42,Pending
313,798,2024-07-16,218.39,Delivered
314,1216,2024-09-09,486.12,Cancelled
315,1367,2024-04-05,350.42,Delivered
316,4387,2024-08-15,143.66,Pending
317,2218,2024-11-18,377.93,Delivered
318,2836,2024-07-08,474.53,Delivered
319,527,2024-12-08,282.27,Shipped
320,935,2024-12-10,421.98,Cancelled
321,231,2024-10-31,60.63,Pending
322,4650,2024-07-11,445.29,Cancelled
323,3136,2024-10-15,138.8,Shipped
324,717,2024-02-16,381.19,Delivered
325,166,2024-09-09,397.86,Cancelled
326,237,2024-04-21,490.69,Pending
327,3860,2024-06-30,250.42,Cancelled
328,3111,2024-08-29,98.86,Shipped
329,4709,2024-11-18,353.73,Cancelled
330,843,2024-06-14,353.24,Delivered
331,794,2025-02-08,265.45,Shipped
332,4426,2024-04-10,378.76,Cancelled
333,4495,2024-10-29,370.98,Cancelled
334,3457,2024-10-18,186.0,Delivered
335,756,2024-09-05,93.49,Delivered
336,1083,2025-01-19,386.33,Pending
337,2908,2024-05-10,232.74,Cancelled
338,2100,2024-05-08,314.26,Shipped
339,4680,2024-06-14,281.76,Delivered
340,2520,2024-03-24,286.36,Delivered
341,4007,2024-07-12,100.28,Shipped
