payment_id,order_id,payment_date,payment_method,status
1,1,2024-11-02,Bitcoin,Failed
2,2,2024-08-01,Credit Card,Successful
3,3,2025-02-03,Credit Card,Pending
4,4,2024-11-25,Debit Card,Successful
5,5,2024-05-22,PayPal,Failed
6,6,2024-09-20,Bitcoin,Pending
7,7,2024-03-19,Bitcoin,Failed
8,8,2024-07-14,Bitcoin,Pending
9,9,2024-12-13,Credit Card,Failed
10,10,2024-06-28,Debit Card,Pending
11,11,2024-09-11,Bitcoin,Failed
12,12,2024-07-25,Debit Card,Failed
13,13,2024-09-07,Bitcoin,Successful
14,14,2024-04-18,Bitcoin,Pending
15,15,2024-02-11,PayPal,Failed
16,16,2024-07-25,PayPal,Successful
17,17,2024-04-09,PayPal,Failed
18,18,2024-06-06,Bitcoin,Successful
19,19,2024-07-05,PayPal,Successful
20,20,2024-07-24,Bitcoin,Pending
21,21,2024-08-03,Credit Card,Pending
22,22,2024-12-03,PayPal,Failed
23,23,2025-01-28,Credit Card,Pending
24,24,2025-01-21,Debit Card,Successful
25,25,2024-12-14,Debit Card,Successful
26,26,2024-04-10,Credit Card,Pending
27,27,2024-09-22,Bitcoin,Failed
28,28,2024-08-04,PayPal,Pending
29,29,2025-01-28,Credit Card,Failed
30,30,2024-11-30,Debit Card,Pending
31,31,2025-01-11,PayPal,Pending
32,32,2024-05-26,Bitcoin,Successful
33,33,2025-01-13,Bitcoin,Successful
34,34,2024-04-11,PayPal,Successful
35,35,2024-09-04,PayPal,Failed
36,36,2025-01-13,Credit Card,Failed
37,37,2024-09-11,Bitcoin,Failed
38,38,2024-10-15,Bitcoin,Failed
39,39,2024-11-15,Bitcoin,Pending
40,40,2024-08-05,Debit Card,Pending
41,41,2024-09-30,Debit Card,Pending
42,42,2024-11-11,Debit Card,Successful
43,43,2024-10-08,Bitcoin,Pending
44,44,2024-03-16,Bitcoin,Pending
45,45,2024-12-27,Credit Card,Failed
46,46,2024-08-23,PayPal,Failed
47,47,2024-09-23,PayPal,Pending
48,48,2024-05-31,Bitcoin,Pending
49,49,2024-03-27,Credit Card,Pending
50,50,2024-08-29,PayPal,Failed
51,51,2025-01-29,Bitcoin,Failed
52,52,2024-06-01,Credit Card,Failed
53,53,2024-04-16,Bitcoin,Pending
54,54,2024-09-29,PayPal,Successful
55,55,2024-07-29,PayPal,Successful
56,56,2024-09-26,Debit Card,Successful
57,57,2024-09-28,Bitcoin,Failed
58,58,2024-07-23,Debit Card,Pending
59,59,2024-04-01,Bitcoin,Pending
60,60,2024-04-16,Credit Card,Failed
61,61,2025-01-08,PayPal,Failed
62,62,2024-08-08,Debit Card,Successful
63,63,2024-10-15,Bitcoin,Pending
64,64,2024-06-07,Credit Card,Successful
65,65,2024-10-15,Credit Card,Pending
66,66,2024-08-15,Credit Card,Failed
67,67,2024-11-30,Credit Card,Pending
68,68,2024-08-15,Credit Card,Successful
69,69,2025-01-31,Bitcoin,Pending
70,70,2024-08-14,PayPal,Successful
71,71,2024-06-11,Bitcoin,Failed
72,72,2024-02-23,PayPal,Pending
73,73,2024-09-05,Debit Card,Pending
74,74,2024-03-28,Bitcoin,Failed
75,75,2024-05-29,Debit Card,Successful
76,76,2024-06-16,Debit Card,Pending
77,77,2024-02-17,Credit Card,Pending
78,78,2024-08-04,Bitcoin,Successful
79,79,2024-10-07,Debit Card,Failed
80,80,2024-10-30,PayPal,Failed
81,81,2024-06-03,Bitcoin,Failed
82,82,2024-12-10,Debit Card,Pending
83,83,2024-02-15,Bitcoin,Successful
84,84,2024-07-04,Credit Card,Failed
85,85,2025-01-24,PayPal,Failed
86,86,2024-07-17,Bitcoin,Pending
87,87,2024-10-01,Credit Card,Failed
88,88,2024-02-19,Credit Card,Pending
89,89,2024-11-05,Debit Card,Successful
90,90,2024-05-08,Bitcoin,Pending
91,91,2024-12-14,PayPal,Successful
92,92,2024-12-09,PayPal,Pending
93,93,2025-01-16,Bitcoin,Failed
94,94,2024-05-22,PayPal,Failed
95,95,2024-09-09,Credit Card,Failed
96,96,2024-06-30,PayPal,Failed
97,97,2024-06-11,Credit Card,Pending
98,98,2024-08-18,Credit Card,Pending
99,99,2024-03-25,Debit Card,Pending
100,100,2024-09-03,Bitcoin,Failed
101,101,2024-12-13,Debit Card,Failed
102,102,2024-07-04,Debit Card,Pending
103,103,2024-12-24,Debit Card,Failed
104,104,2024-05-07,Debit Card,Successful
105,105,2024-12-16,Credit Card,Failed
106,106,2024-06-03,Credit Card,Pending
107,107,2024-08-04,PayPal,Pending
108,108,2024-04-03,Credit Card,Successful
109,109,2025-02-06,Credit Card,Successful
110,110,2024-10-30,Debit Card,Pending
111,111,2024-07-29,PayPal,Pending
112,112,2024-04-07,Debit Card,Pending
113,113,2024-03-12,Bitcoin,Successful
114,114,2024-09-26,PayPal,Successful
115,115,2024-06-20,Bitcoin,Successful
116,116,2024-07-05,PayPal,Pending
117,117,2024-07-23,Credit Card,Failed
118,118,2024-07-30,PayPal,Pending
119,119,2024-06-04,Bitcoin,Pending
120,120,2025-02-07,Credit Card,Failed
121,121,2024-11-05,Debit Card,Failed
122,122,2024-08-07,Bitcoin,Pending
123,123,2024-05-30,Bitcoin,Successful
124,124,2024-03-28,Bitcoin,Failed
125,125,2024-03-22,Bitcoin,Pending
126,126,2024-07-24,Debit Card,Pending
127,127,2024-09-28,Credit Card,Successful
128,128,2024-10-10,PayPal,Successful
129,129,2024-03-18,Bitcoin,Successful
130,130,2024-05-30,Debit Card,Failed
131,131,2024-10-26,PayPal,Failed
132,132,2024-04-09,Bitcoin,Failed
133,133,2024-03-17,Credit Card,Failed
134,134,2024-10-24,PayPal,Successful
135,135,2024-07-02,Debit Card,Successful
136,136,2024-03-08,Bitcoin,Failed
137,137,2024-09-20,Credit Card,Successful
138,138,2024-12-16,PayPal,Pending
139,139,2024-07-13,PayPal,Successful
140,140,2024-05-12,Bitcoin,Successful
141,141,2024-12-25,PayPal,Pending
142,142,2024-06-29,Credit Card,Pending
143,143,2024-07-11,Credit Card,Pending
144,144,2024-09-05,Debit Card,Failed
145,145,2025-01-07,Credit Card,Failed
146,146,2024-06-17,Debit Card,Successful
147,147,2025-01-22,Bitcoin,Failed
148,148,2025-01-21,Debit Card,Successful
149,149,2024-06-20,Credit Card,Successful
150,150,2024-02-15,Debit Card,Failed
151,151,2024-09-17,Credit Card,Successful
152,152,2024-08-13,Credit Card,Pending
153,153,2024-10-07,Bitcoin,Pending
154,154,2025-01-08,Bitcoin,Successful
155,155,2024-08-29,Credit Card,Failed
156,156,2024-02-26,Bitcoin,Pending
157,157,2024-11-28,Debit Card,Successful
158,158,2024-03-05,Bitcoin,Successful
159,159,2024-11-21,PayPal,Pending
160,160,2024-05-13,Credit Card,Successful
161,161,2025-02-05,Bitcoin,Successful
162,162,2024-06-30,Credit Card,Failed
163,163,2024-10-12,Bitcoin,Successful
164,164,2024-08-03,Credit Card,Failed
165,165,2025-01-17,Bitcoin,Successful
