review_id,user_id,book_id,rating,comment,review_date
1,4529,819,4,Not my type,2024-07-21
2,152,152,1,Not my type,2024-08-03
3,1218,379,1,Highly recommend!,2024-08-20
4,859,190,4,Highly recommend!,2024-05-29
5,620,859,5,Amazing read!,2024-05-18
6,4638,102,5,Loved it!,2024-11-04
7,4544,237,2,Amazing read!,2024-09-30
8,4484,673,4,Amazing read!,2024-07-14
9,2122,618,4,Loved it!,2024-07-02
10,1501,253,3,Amazing read!,2025-01-03
11,1287,36,5,Loved it!,2024-03-08
12,2759,484,5,Not my type,2024-08-22
13,3719,266,5,Amazing read!,2024-10-06
14,186,465,5,Amazing read!,2024-04-23
15,755,721,5,Highly recommend!,2024-08-16
16,1180,932,5,Loved it!,2024-06-23
17,3254,226,1,Not my type,2024-03-25
18,2629,544,3,Boring,2024-09-13
19,1902,400,3,Not my type,2024-07-13
20,4589,763,5,Amazing read!,2024-04-03
21,2378,664,2,Highly recommend!,2024-06-17
22,3221,24,1,Boring,2024-06-26
23,251,117,2,Amazing read!,2025-02-06
24,397,847,5,Loved it!,2024-11-24
25,3392,667,3,Highly recommend!,2024-05-26
26,2310,46,1,Highly recommend!,2025-02-08
27,2540,675,1,Not my type,2024-07-19
28,2697,262,3,Boring,2024-03-30
29,1401,249,1,Amazing read!,2024-05-22
30,3831,67,4,Boring,2024-03-02
31,3477,393,5,Loved it!,2024-12-30
32,4726,586,5,Not my type,2024-08-05
33,477,80,1,Boring,2025-01-30
34,658,415,3,Amazing read!,2024-08-13
35,1918,823,2,Amazing read!,2024-10-21
36,930,38,5,Loved it!,2024-07-15
37,1524,706,3,Not my type,2024-05-12
38,5000,273,4,Loved it!,2024-04-10
39,2615,118,3,Boring,2024-02-24
40,1367,886,2,Boring,2024-05-18
41,1406,754,2,Highly recommend!,2024-04-14
42,4058,343,3,Amazing read!,2024-08-16
43,4041,828,3,Loved it!,2024-06-09
44,1528,961,1,Loved it!,2024-06-09
45,3964,479,4,Amazing read!,2025-01-08
46,4347,569,5,Loved it!,2024-12-20
47,2669,593,4,Boring,2024-05-10
48,4694,901,1,Boring,2024-10-15
49,4327,197,5,Loved it!,2024-10-27
50,2257,546,4,Amazing read!,2024-05-25
51,1225,617,1,Amazing read!,2024-09-12
52,3732,8,4,Boring,2024-09-21
53,1187,16,5,Boring,2024-06-16
54,1428,909,3,Loved it!,2024-09-24
55,703,804,5,Amazing read!,2024-12-30
56,4734,45,2,Not my type,2024-05-29
57,3769,298,5,Boring,2024-03-23
58,4061,313,1,Loved it!,2024-04-07
59,128,242,2,Highly recommend!,2024-08-22
60,36,1,1,Boring,2024-12-01
